id,fecha,gen,mod,memoria,bateria,precio,estado,nombre,reservado,url,tiene_color,tiene_emojis,tiene_revisado
1068942056,20241114,14,pro,128,,"780,00",as_good_as_new,iphone 14 pro 128gb,False,https://es.wallapop.com/item/iphone-14-pro-128gb-1068942056,False,False,False
1049042477,20241114,14,pro max,128,,"879,00",good,apple iphone 14 pro max 128gb,False,https://es.wallapop.com/item/apple-iphone-14-pro-max-128gb-1049042477,False,False,False
1066755363,20241114,15,pro,256,,"975,00",as_good_as_new,apple iphone 15 pro 256gb,False,https://es.wallapop.com/item/apple-iphone-15-pro-256gb-1066755363,False,False,False
1069405730,20241114,14,pro max,256,,"700,00",as_good_as_new,iphone 14 pro max 256gb,False,https://es.wallapop.com/item/iphone-14-pro-max-256gb-1069405730,False,False,False
1052986821,20241114,14,basic,128,88.0,"553,95",good,iphone 14 128gb (salud batería 88%) azul,False,https://es.wallapop.com/item/iphone-14-128gb-salud-bateria-88-azul-1052986821,True,True,False
1064793502,20241114,15,basic,,,"650,00",as_good_as_new,iphone 15 ,False,https://es.wallapop.com/item/iphone-15-1064793502,False,False,False
1068605586,20241114,14,pro max,,,"570,00",as_good_as_new,iphone 14 pro max,False,https://es.wallapop.com/item/iphone-14-pro-max-1068605586,False,False,False
1049027278,20241114,14,pro max,128,,"879,00",good,apple iphone 14 pro max 128gb,False,https://es.wallapop.com/item/apple-iphone-14-pro-max-128gb-1049027278,False,False,False
1065865344,20241114,15,pro max,,,"950,00",as_good_as_new,iphone 15 pro max,False,https://es.wallapop.com/item/iphone-15-pro-max-1065865344,False,False,False
1068978731,20241114,14,pro max,128,,"829,00",as_good_as_new,iphone 14 pro max 128gb morado,False,https://es.wallapop.com/item/iphone-14-pro-max-128gb-morado-1068978731,True,False,False
1025565047,20241114,14,pro,128,92.0,"725,00",good,iphone 14 pro 128gb silver 🔋92%garantia,False,https://es.wallapop.com/item/iphone-14-pro-128gb-silver-92-garantia-1025565047,False,True,False
1064792044,20241114,15,pro,,,"880,00",as_good_as_new,iphone 15 pro,False,https://es.wallapop.com/item/iphone-15-pro-1064792044,False,False,False
1068396878,20241114,14,basic,,,"600,00",as_good_as_new,iphone 14,False,https://es.wallapop.com/item/iphone-14-1068396878,False,False,False
1028732455,20241114,14,pro,128,95.0,"725,00",good,iphone 14 pro 128gb purple bat 95% vida garantia,False,https://es.wallapop.com/item/iphone-14-pro-128gb-purple-bat-95-vida-garantia-1028732455,False,True,False
1066507974,20241114,15,pro max,1tb,,"1249,00",as_good_as_new,iphone 15 pro max 1tb titanio blanco,False,https://es.wallapop.com/item/iphone-15-pro-max-1tb-titanio-blanco-1066507974,True,False,False
1068875746,20241114,14,pro max,256,100.0,"900,00",as_good_as_new,iphone 14 pro max 256 100%,False,https://es.wallapop.com/item/iphone-14-pro-max-256-100-1068875746,False,True,False
1023099425,20241114,14,pro,128,93.0,"720,00",good,iphone 14 pro 128gb bat 93% silver ,False,https://es.wallapop.com/item/iphone-14-pro-128gb-bat-93-silver-1023099425,False,True,False
1066718693,20241114,15,pro,128,100.0,"909,00",as_good_as_new,iphone 15 pro 128gb titanio bateria 100% ,False,https://es.wallapop.com/item/iphone-15-pro-128gb-titanio-bateria-100-1066718693,True,True,False
1068540847,20241114,14,pro max,,,"650,00",as_good_as_new,iphone 14 pro max,False,https://es.wallapop.com/item/iphone-14-pro-max-1068540847,False,False,False
1058953211,20241114,14,pro max,128,,"600,00",good,se vende iphone 14 pro max 128 gb,False,https://es.wallapop.com/item/se-vende-iphone-14-pro-max-128-gb-1058953211,False,False,False
1065180520,20241114,15,pro,,,"750,00",as_good_as_new,iphone 15 pro ,False,https://es.wallapop.com/item/iphone-15-pro-1065180520,False,False,False
1067343110,20241114,14,pro max,128,,"750,00",as_good_as_new,iphone 14 pro max 128 gb impecable ,False,https://es.wallapop.com/item/iphone-14-pro-max-128-gb-impecable-1067343110,False,False,False
1045769628,20241114,14,pro max,128,,"879,00",good,apple iphone 14 pro max 128gb,False,https://es.wallapop.com/item/apple-iphone-14-pro-max-128gb-1045769628,False,False,False
1065907160,20241114,15,pro max,512,,"1000,00",as_good_as_new,se vende iphone 15 pro max 512gb,False,https://es.wallapop.com/item/se-vende-iphone-15-pro-max-512gb-1065907160,False,False,False
1068422065,20241114,14,pro,,,"625,00",as_good_as_new,iphone 14 pro,False,https://es.wallapop.com/item/iphone-14-pro-1068422065,False,False,False
1054119249,20241114,14,pro,128,,"750,00",good,título:  apple iphone 14 pro (128 gb) - oro,False,https://es.wallapop.com/item/titulo-apple-iphone-14-pro-128-gb-oro-1054119249,False,True,False
1065295634,20241114,15,basic,128,,"750,00",as_good_as_new,iphone 15 negro 128gb,False,https://es.wallapop.com/item/iphone-15-negro-128gb-1065295634,True,False,False
1068887963,20241114,14,pro,256,100.0,"849,00",as_good_as_new,iphone 14 pro 256gb dorado 100% bateria ,False,https://es.wallapop.com/item/iphone-14-pro-256gb-dorado-100-bateria-1068887963,False,True,False
1048966993,20241114,14,pro max,,,"450,00",good,iphone bonito y barato 14 pro max,False,https://es.wallapop.com/item/iphone-bonito-y-barato-14-pro-max-1048966993,False,False,False
1064912590,20241114,15,pro max,,,"920,00",as_good_as_new,iphone 15 pro max,False,https://es.wallapop.com/item/iphone-15-pro-max-1064912590,False,False,False
1068887710,20241114,14,pro,128,100.0,"789,00",as_good_as_new,iphone 14 pro 128gb morado 100% bateria ,False,https://es.wallapop.com/item/iphone-14-pro-128gb-morado-100-bateria-1068887710,True,True,False
1001225041,20241114,14,basic,256,,"540,00",good,iphone 14 256gb,False,https://es.wallapop.com/item/iphone-14-256gb-1001225041,False,False,False
1064879264,20241114,15,pro max,,,"1250,00",as_good_as_new,iphone 15 pro max,False,https://es.wallapop.com/item/iphone-15-pro-max-1064879264,False,False,False
1068695727,20241114,14,pro max,256,,"730,00",as_good_as_new,iphone 14 pro max 256 gb,False,https://es.wallapop.com/item/iphone-14-pro-max-256-gb-1068695727,False,False,False
1034085605,20241114,14,pro max,128,,"675,00",good,iphone 14 pro max 128 gb,False,https://es.wallapop.com/item/iphone-14-pro-max-128-gb-1034085605,False,False,False
1065153951,20241114,15,pro max,,,"900,00",as_good_as_new,iphone 15 pro max ,False,https://es.wallapop.com/item/iphone-15-pro-max-1065153951,False,False,False
1068596563,20241114,14,pro,512,,"550,00",as_good_as_new,iphone 14 pro 512gb,False,https://es.wallapop.com/item/iphone-14-pro-512gb-1068596563,False,False,False
1046529204,20241114,14,pro,128,87.0,"653,95",good,movil  iphone 14 pro 128gb negro salud bateria 87%,False,https://es.wallapop.com/item/movil-iphone-14-pro-128gb-negro-condicion-de-bateria-87-1046529204,True,True,False
1065317981,20241114,15,pro,256,,"900,00",as_good_as_new,iphone 15 pro 256gb azul,False,https://es.wallapop.com/item/iphone-15-pro-256gb-azul-1065317981,True,False,False
1068620010,20241114,14,pro,256,,"700,00",as_good_as_new,iphone 14 pro 256,False,https://es.wallapop.com/item/iphone-14-pro-256-1068620010,False,False,False
1047136532,20241114,14,plus,,,"500,00",good,iphone 14 plus,False,https://es.wallapop.com/item/iphone-1047136532,False,False,False
1064769051,20241114,15,pro,,,"950,00",as_good_as_new,iphone 15 pro blanco ,False,https://es.wallapop.com/item/iphone-15-pro-blanco-1064769051,True,False,False
1068357422,20241114,14,pro,,,"700,00",as_good_as_new,iphone 14 promax,False,https://es.wallapop.com/item/iphone-14-promax-1068357422,False,False,False
988792954,20241114,14,pro,256,,"725,00",good,iphone 14 pro 256gb morado,False,https://es.wallapop.com/item/iphone-14-pro-256gb-morado-988792954,True,False,False
